ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
99617476290772B3,electric_bike,10/27/2022 19:44,10/27/2022 19:48,LaSalle St & Illinois St,13430,Stetson Ave & South Water St,TA1308000029,41.89075232,-87.63178814,41.886835,-87.62232,member
11C7D115190D4C2C,electric_bike,10/27/2022 16:10,10/27/2022 16:28,Stockton Dr & Wrightwood Ave,13276,Stetson Ave & South Water St,TA1308000029,41.93132983,-87.63867517,41.886835,-87.62232,casual
E70F08F4BDD15923,classic_bike,10/23/2022 15:57,10/23/2022 16:29,Hoyne Ave & Balmoral Ave,655,Kimball Ave & Belmont Ave,KA150400009X,41.979851,-87.681932,41.939398,-87.711561,member
0CB3B1DDFB275487,classic_bike,10/16/2022 10:39,10/16/2022 10:59,Noble St & Milwaukee Ave,13290,McClurg Ct & Ohio St,TA1306000029,41.90068,-87.6626,41.89259212,-87.61728913,member
102BE9D54CF99AE5,classic_bike,10/24/2022 17:48,10/24/2022 18:07,Noble St & Milwaukee Ave,13290,Greenview Ave & Fullerton Ave,TA1307000001,41.90068,-87.6626,41.92533,-87.6658,member
A52958EC64D0E30E,electric_bike,10/29/2022 11:00,10/29/2022 11:18,Noble St & Milwaukee Ave,13290,W Oakdale Ave & N Broadway,20252,41.9007051,-87.66262734,41.94,-87.64,member
111315CDA19014AB,electric_bike,10/30/2022 12:54,10/30/2022 13:03,Rush St & Cedar St,KA1504000133,LaSalle St & Illinois St,13430,41.9023062,-87.62779033,41.890762,-87.631697,member
7E217687CD4E07D8,classic_bike,10/31/2022 12:17,10/31/2022 12:27,Halsted St & Archer Ave,TA1308000013,Indiana Ave & 26th St,TA1307000005,41.847203,-87.646795,41.845687,-87.622481,member
A8671F6F0AAF7ABE,classic_bike,10/26/2022 12:00,10/26/2022 12:19,Wells St & Hubbard St,TA1307000151,Stetson Ave & South Water St,TA1308000029,41.889906,-87.634266,41.886835,-87.62232,member
304035B3BB5D47AF,classic_bike,10/31/2022 17:52,10/31/2022 17:57,Wells St & Hubbard St,TA1307000151,McClurg Ct & Ohio St,TA1306000029,41.889906,-87.634266,41.89259212,-87.61728913,member
FEF210DB5CA45BAE,electric_bike,10/11/2022 8:38,10/11/2022 8:45,Wells St & Hubbard St,TA1307000151,Desplaines St & Jackson Blvd,15539,41.88986278,-87.63434959,41.8781189,-87.6439476,member
D56C82B411729F4D,classic_bike,10/1/2022 17:05,10/1/2022 17:16,Wells St & Hubbard St,TA1307000151,Stetson Ave & South Water St,TA1308000029,41.889906,-87.634266,41.886835,-87.62232,member
B58DF7366CF0F63B,classic_bike,10/1/2022 8:53,10/1/2022 9:10,Wells St & Concord Ln,TA1308000050,Clark St & Drummond Pl,TA1307000142,41.912133,-87.634656,41.931248,-87.644336,casual
68A2B860B92E3A4C,electric_bike,10/30/2022 0:52,10/30/2022 0:59,Wells St & Concord Ln,TA1308000050,Halsted St & Wrightwood Ave,TA1309000061,41.91204933,-87.63473783,41.929143,-87.649077,casual
BFEF2D97102F4454,electric_bike,10/24/2022 20:18,10/24/2022 20:27,Wells St & Concord Ln,TA1308000050,Clark St & Drummond Pl,TA1307000142,41.91181383,-87.634845,41.931248,-87.644336,casual
A4DE3AD022460CBE,electric_bike,10/3/2022 18:51,10/3/2022 18:58,Wells St & Concord Ln,TA1308000050,Clark St & Drummond Pl,TA1307000142,41.91208533,-87.63501,41.931248,-87.644336,casual
EC00F3BD681B6B5A,classic_bike,10/10/2022 17:30,10/10/2022 17:40,Wells St & Concord Ln,TA1308000050,Clark St & Drummond Pl,TA1307000142,41.912133,-87.634656,41.931248,-87.644336,member
32308AD233215C6D,electric_bike,10/30/2022 14:34,10/30/2022 14:42,Wells St & Hubbard St,TA1307000151,McClurg Ct & Ohio St,TA1306000029,41.8900677,-87.63438487,41.89259212,-87.61728913,member
D8D7F4696C186CCD,electric_bike,10/24/2022 15:11,10/24/2022 15:38,Halsted St & North Branch St,KA1504000117,Stetson Ave & South Water St,TA1308000029,41.89939022,-87.64849246,41.886835,-87.62232,casual
D41C0DAC2DE2F930,electric_bike,10/1/2022 0:17,10/1/2022 0:24,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.89083833,-87.63142733,41.89259212,-87.61728913,member
A60F84B22D69A274,electric_bike,10/16/2022 9:58,10/16/2022 10:11,Milwaukee Ave & Rockwell St,13242,Kosciuszko Park,15643,41.92025,-87.692746,41.93058537,-87.72377736,casual
B02C1E7D4E1D3235,electric_bike,10/20/2022 19:24,10/20/2022 19:30,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.89105654,-87.63187969,41.89259212,-87.61728913,casual
